date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:34:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:28%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3L9lL2eUsmLNNfENPwNOc82Hzpw.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3L9lL2eUsmLNNfENPwNOc82Hzpw.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:17	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:33%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3L9lL2eUsmLNNfENPwNOc82Hzpw.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3L9lL2eUsmLNNfENPwNOc82Hzpw.1b.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:17	31094/31094	---M--	200	added ('OK')	image/jpeg	etag:%226273427d-7976%22	https://image.tmdb.org/t/p/w300/3L9lL2eUsmLNNfENPwNOc82Hzpw.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/3L9lL2eUsmLNNfENPwNOc82Hzpw.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:34%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:22	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:39%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/6WBeq4fCfn7AN0o21W9qNcRF2l9.1e.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:23	28000/28000	---M--	200	added ('OK')	image/jpeg	etag:%226272be31-6d60%22	https://image.tmdb.org/t/p/w300/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:39%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:27	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:43%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/AbbXspMOwdvwWZgVN0nabZq03Ec.21.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:28	37817/37817	---M--	200	added ('OK')	image/jpeg	etag:%226272ddcf-93b9%22	https://image.tmdb.org/t/p/w300/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:44%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg	(from https://wtach.club/en/movie/436270/black-adam)
